name,link
EAM_2016.zip,https://microdatos.dane.gov.co/index.php/catalog/523/download/10203
EAM_2019.zip,https://microdatos.dane.gov.co/index.php/catalog/694/download/14186
EAM_ANONIMIZADA_2022.zip,https://microdatos.dane.gov.co/index.php/catalog/836/download/23619
